timestep,impact
1057,17.10569031536579
1058,17.247725881636143
1059,17.267078645527363
1060,17.634395644068718
1061,17.200051724910736
1062,17.19041631370783
1063,16.914798766374588
1064,16.850876227021217
1065,16.921239838004112
1066,17.49006249010563
1067,17.86050333082676
1068,17.314564865082502
1069,17.11415445804596
1070,17.14313153922558
1071,17.10725735127926
1072,17.23516920208931
1073,17.273351915180683
1074,17.217580500990152
1075,17.450369119644165
1076,17.930996537208557
1077,17.343300595879555
1078,17.196593686938286
1079,17.052302852272987
1080,16.966013684868813
1081,16.976288974285126
1082,17.016482546925545
1083,16.965015575289726
1084,16.958016976714134
1085,16.94839596375823
1086,16.941820666193962
1087,16.932652860879898
1088,16.93586080521345
1089,16.912925750017166
1090,17.21290110051632
1091,17.52636805176735
1092,17.239643022418022
1093,16.972903102636337
1094,16.95531015843153
1095,16.945041373372078
1096,16.93369384855032
1097,16.923058159649372
1098,16.91122679412365
1099,16.899817511439323
1100,16.932460770010948
1101,16.868155509233475
1102,16.92541766166687
1103,16.834589645266533
1104,16.81823195517063
1105,16.908159613609314
1106,17.192803263664246
1107,17.111944243311882
1108,17.807246685028076
1109,17.0958589091897
1110,17.102170009166002
1111,17.06713270023465
1112,17.43269744515419
1113,17.696263015270233
1114,17.078405909240246
1115,17.06298676878214
1116,17.222875520586967
1117,17.123210716992617
1118,17.080620616674423
1119,17.093924209475517
1120,17.04109951853752
1121,17.231010876595974
1122,17.074090629816055
1123,17.067157417535782
1124,17.02490098029375
1125,17.178800791502
1126,17.021640852093697
1127,17.165915325284004
1128,17.650821082293987
1129,18.14283639192581
1130,17.467635601758957
1131,17.200243405997753
1132,16.946900960057974
1133,16.93023094534874
1134,16.920692920684814
1135,17.4050282984972
1136,17.525468289852142
1137,16.988592445850372
1138,16.984260067343712
1139,16.971804536879063
1140,16.961954548954964
1141,16.96173918247223
1142,16.956343829631805
1143,17.122051656246185
1144,17.09495932608843
1145,17.246478095650673
1146,17.045299142599106
1147,17.196690022945404
1148,17.38517226278782
1149,17.63965205848217
1150,16.853505957871675
1151,16.849997136741877
1152,16.846410267055035
1153,16.838914159685373
1154,16.834288973361254
1155,16.808784402906895
1156,17.243219152092934
1157,17.79605919122696
1158,17.569248989224434
1159,17.137357398867607
1160,16.815185993909836
1161,16.91572441160679
1162,16.863055616617203
1163,16.803070962429047
1164,16.9848575592041
1165,16.846726521849632
1166,17.14366066455841
1167,17.32166290283203
1168,17.316935919225216
1169,17.343319341540337
1170,17.39681702852249
1171,17.337551593780518
1172,17.545250795781612
1173,17.515932731330395
1174,18.195410132408142
1175,17.53566823154688
1176,17.352120965719223
1177,17.199355512857437
1178,17.067386098206043
1179,17.0044998973608
1180,17.001850232481956
1181,16.998967804014683
1182,17.049117885529995
1183,16.97045300900936
1184,16.983412757515907
1185,16.978620141744614
1186,17.60060954093933
1187,17.76729753613472
1188,17.35998809337616
1189,17.02973883599043
1190,17.02496077120304
1191,17.020732663571835
1192,17.01270505785942
1193,17.00945558398962
1194,17.16215158253908
1195,17.498335123062134
1196,18.039419174194336
1197,17.172724783420563
1198,17.112844184041023
1199,17.20210810750723
1200,16.89023357257247
1201,16.885743226855993
1202,17.346911668777466
1203,17.82600411772728
1204,17.697808980941772
1205,17.574521958827972
1206,17.470003716647625
1207,17.41921728849411
1208,18.12192276120186
1209,18.225256070494652
1210,18.042932093143463
1211,17.36089324951172
1212,16.924688935279846
1213,17.09549354016781
1214,17.243220046162605
1215,18.026924073696136
1216,17.331756114959717
1217,16.8176862411201
1218,16.83012031391263
1219,17.403370290994644
1220,18.408182501792908
1221,17.31718348711729
1222,17.216303914785385
1223,17.139795571565628
1224,17.050109162926674
1225,17.112277925014496
1226,17.104707300662994
1227,17.114114373922348
1228,17.209917455911636
1229,17.059572979807854
1230,17.202334083616734
1231,17.33407925069332
1232,17.494777843356133
1233,18.239312648773193
1234,17.20988481491804
1235,17.217535592615604
1236,17.05088808387518
1237,16.99051885306835
1238,16.985588550567627
1239,17.004516646265984
1240,16.975979372859
1241,16.9714452624321
1242,16.966805770993233
1243,16.96215794980526
1244,16.98415721207857
1245,16.948294509202242
1246,16.941939249634743
1247,16.94664330407977
1248,16.926136568188667
1249,16.91757147014141
1250,16.94244782626629
1251,16.906278535723686
1252,16.922034867107868
1253,16.89656388759613
1254,16.8914907425642
1255,16.902902461588383
1256,17.348276868462563
1257,17.53343367576599
1258,16.939735367894173
1259,16.980878695845604
