traffic_state,green_phase_probability
Emergency,0.31864235
Emergency,0.3053751
Emergency,0.35466433
Emergency,0.34536803
Emergency,0.3396983
Emergency,0.33420092
Emergency,0.29679525
Emergency,0.34150302
Emergency,0.3435644
Emergency,0.34291607
Emergency,0.3219017
Emergency,0.27647528
Emergency,0.3567957
Emergency,0.34463865
Emergency,0.32870066
Emergency,0.2994091
Emergency,0.34241802
Emergency,0.3169248
Emergency,0.30012226
Emergency,0.3581513
Emergency,0.3433402
Emergency,0.33186406
Emergency,0.28711277
Emergency,0.33709067
Emergency,0.31325606
Emergency,0.29541355
Emergency,0.35401788
Emergency,0.35845095
Emergency,0.3361534
Emergency,0.3307353
Emergency,0.27676895
Emergency,0.33005202
Emergency,0.32458296
Emergency,0.3268286
Emergency,0.28736106
Emergency,0.2908388
Emergency,0.3179468
Emergency,0.33586285
Emergency,0.33667988
Emergency,0.3307518
Emergency,0.2912976
Emergency,0.3308134
Emergency,0.29188448
Emergency,0.33577257
Emergency,0.29484695
Emergency,0.30307817
Emergency,0.30839583
Emergency,0.34921256
Emergency,0.35544014
Emergency,0.35322115
Emergency,0.35454354
Emergency,0.3555057
Emergency,0.36257854
Emergency,0.3396112
Emergency,0.34183952
Emergency,0.3343199
Emergency,0.2786469
Emergency,0.34114283
Emergency,0.34527308
Emergency,0.3318482
Emergency,0.3150027
Emergency,0.27967513
Emergency,0.34484747
Emergency,0.34981462
Emergency,0.3458991
Emergency,0.32758078
Emergency,0.29657012
Emergency,0.34418538
Emergency,0.3274206
Emergency,0.29062143
Emergency,0.35382137
Emergency,0.35085294
Emergency,0.32908717
Emergency,0.29944372
Emergency,0.3414418
Emergency,0.32554516
Emergency,0.29970607
Emergency,0.3481518
Emergency,0.35900867
Emergency,0.35017097
Emergency,0.34208176
Emergency,0.33313078
Emergency,0.2809416
Emergency,0.34719107
Emergency,0.3289915
Emergency,0.29783592
Emergency,0.3453956
Emergency,0.35450175
Emergency,0.33963752
Emergency,0.33942327
Emergency,0.33438128
Emergency,0.27134162
Emergency,0.3442117
Emergency,0.34433824
Emergency,0.34192526
Emergency,0.32119694
Emergency,0.28540745
Emergency,0.33883494
Emergency,0.33691132
Emergency,0.3306363
Emergency,0.27637795
Emergency,0.3460255
Emergency,0.3149468
Emergency,0.29750067
Emergency,0.3499609
Emergency,0.35772175
Emergency,0.3545836
Emergency,0.34680137
Emergency,0.3291894
Emergency,0.26853466
Emergency,0.33091578
Emergency,0.32247356
Emergency,0.3537087
Emergency,0.3504802
Emergency,0.36263317
Emergency,0.34378046
Emergency,0.3311071
Emergency,0.2845829
Emergency,0.33325887
Emergency,0.31087562
Emergency,0.30257124
Emergency,0.33901283
Emergency,0.33754107
Emergency,0.33830756
Emergency,0.33592087
Emergency,0.333014
Emergency,0.27339295
Emergency,0.33335245
Emergency,0.32410333
Emergency,0.30400446
Emergency,0.35635027
Emergency,0.35318306
Emergency,0.3466101
Emergency,0.33180913
Emergency,0.271069
Emergency,0.33031458
Emergency,0.32962984
Emergency,0.3299549
Emergency,0.29735553
Emergency,0.35111144
Emergency,0.34231895
Emergency,0.33792296
Emergency,0.32891738
Emergency,0.29024965
Emergency,0.34587106
Emergency,0.34464073
Emergency,0.34393877
Emergency,0.32569432
Emergency,0.2961002
Emergency,0.34994197
Emergency,0.35103938
Emergency,0.3547852
Emergency,0.3392352
Emergency,0.33898893
