timestep,value,advantage
53,-17.2820987701416,0.028712928295135498
54,-17.03372573852539,0.08246637135744095
55,-17.0372257232666,0.04495611414313316
56,-17.03033447265625,0.04522809013724327
57,-17.02309799194336,0.08259232342243195
58,-17.224205017089844,0.02352086454629898
59,-17.239906311035156,0.027172334492206573
60,-17.434181213378906,0.2002144306898117
61,-17.19085693359375,0.009194791316986084
62,-17.118955612182617,0.07146070152521133
63,-16.78369903564453,0.13109973073005676
64,-16.759511947631836,0.09136427938938141
65,-16.777175903320312,0.14406393468379974
66,-17.470703125,0.019359365105628967
67,-17.642351150512695,0.21815218031406403
68,-17.28926658630371,0.025298278778791428
69,-17.110429763793945,0.00372469425201416
70,-17.10526466369629,0.037866875529289246
71,-16.969411849975586,0.1378455013036728
72,-17.15943145751953,0.07573774456977844
73,-17.253305435180664,0.020046480000019073
74,-17.17400550842285,0.043574992567300797
75,-17.434764862060547,0.015604257583618164
76,-17.71330451965332,0.21769201755523682
77,-17.28347396850586,0.059826627373695374
78,-17.11626434326172,0.08032934367656708
79,-16.942182540893555,0.11012031137943268
80,-16.899330139160156,0.06668354570865631
81,-16.902969360351562,0.07331961393356323
82,-16.927671432495117,0.08881111443042755
83,-16.89358901977539,0.07142655551433563
84,-16.887470245361328,0.07054673135280609
85,-16.888565063476562,0.05983090028166771
86,-16.873228073120117,0.06859259307384491
87,-16.8649845123291,0.06766834855079651
88,-16.863208770751953,0.07265203446149826
89,-16.84696388244629,0.06596186757087708
90,-17.169713973999023,0.04318712651729584
91,-17.327157974243164,0.19921007752418518
92,-17.080873489379883,0.15876953303813934
93,-16.83576202392578,0.13714107871055603
94,-16.845455169677734,0.10985498875379562
95,-16.836502075195312,0.10853929817676544
96,-16.826467514038086,0.10722633451223373
97,-16.817062377929688,0.1059957817196846
98,-16.806699752807617,0.10452704131603241
99,-16.79677391052246,0.10304360091686249
100,-16.799816131591797,0.1326446384191513
101,-16.774988174438477,0.09316733479499817
102,-16.783666610717773,0.14175105094909668
103,-16.715999603271484,0.11859004199504852
104,-16.701223373413086,0.11700858175754547
105,-16.76103401184082,0.14712560176849365
106,-17.032054901123047,0.16074836254119873
107,-16.98356819152832,0.1283760517835617
108,-17.582956314086914,0.2242903709411621
109,-17.082834243774414,0.013024665415287018
110,-17.07352066040039,0.02864934876561165
111,-17.032928466796875,0.034204233437776566
112,-17.349306106567383,0.08339133858680725
113,-17.48261260986328,0.2136504054069519
114,-16.968605041503906,0.10980086773633957
115,-16.96430015563965,0.09868661314249039
116,-17.154783248901367,0.06809227168560028
117,-17.074018478393555,0.049192238599061966
118,-17.006370544433594,0.07425007224082947
119,-16.973325729370117,0.12059848010540009
120,-16.93792724609375,0.10317227244377136
121,-17.20209503173828,0.02891584485769272
122,-16.936315536499023,0.13777509331703186
123,-16.925243377685547,0.14191403985023499
124,-16.906871795654297,0.11802918463945389
125,-17.118785858154297,0.060014933347702026
126,-16.895915985107422,0.12572486698627472
127,-17.12428092956543,0.041634395718574524
128,-17.60958480834961,0.0412362739443779
129,-17.88241195678711,0.2604244351387024
130,-17.4250545501709,0.04258105158805847
131,-17.125612258911133,0.07463114708662033
132,-16.88861846923828,0.05828249081969261
133,-16.86276626586914,0.067464679479599
134,-16.85403060913086,0.06666231155395508
135,-17.324113845825195,0.0809144526720047
136,-17.32765769958496,0.1978105902671814
137,-16.853961944580078,0.1346305012702942
138,-16.848936080932617,0.13532398641109467
139,-16.858848571777344,0.1129559651017189
140,-16.8359375,0.12601704895496368
141,-16.850675582885742,0.11106359958648682
142,-16.846294403076172,0.11004942655563354
143,-17.089746475219727,0.03230518102645874
144,-17.04676628112793,0.04819304496049881
145,-17.2369441986084,0.009533897042274475
146,-16.973554611206055,0.07174453139305115
147,-17.164030075073242,0.032659947872161865
148,-17.369384765625,0.01578749716281891
149,-17.416099548339844,0.22355251014232635
150,-16.792156219482422,0.061349738389253616
151,-16.789825439453125,0.0601716972887516
152,-16.835372924804688,0.011037342250347137
153,-16.78622055053711,0.05269360914826393
154,-16.782264709472656,0.05202426388859749
155,-16.786785125732422,0.02199927717447281
156,-17.139610290527344,0.1036088615655899
157,-17.512338638305664,0.28372055292129517
158,-17.468856811523438,0.1003921777009964
159,-16.98752784729004,0.14982955157756805
160,-16.72543716430664,0.08974882960319519
161,-16.76999282836914,0.145731583237648
162,-16.736764907836914,0.1262907087802887
163,-16.71345329284668,0.08961766958236694
164,-16.832204818725586,0.15265274047851562
165,-16.722665786743164,0.1240607351064682
166,-17.010906219482422,0.13275444507598877
167,-17.292327880859375,0.02933502197265625
168,-17.298694610595703,0.018241308629512787
169,-17.279796600341797,0.06352274119853973
170,-17.370723724365234,0.02609330415725708
171,-17.305269241333008,0.032282352447509766
172,-17.529273986816406,0.015976808965206146
173,-17.496105194091797,0.01982753723859787
174,-17.94012451171875,0.2552856206893921
175,-17.45679473876953,0.07887349277734756
176,-17.2740421295166,0.07807883620262146
177,-17.117185592651367,0.08216992020606995
178,-16.976707458496094,0.0906786397099495
179,-16.929819107055664,0.07468079030513763
180,-16.92740821838379,0.07444201409816742
181,-16.924833297729492,0.07413450628519058
182,-16.955820083618164,0.0932978019118309
